SSN,Public,Latitude,Longitude,Cluster,Plot,Depth,Soil material,Scientist,Site,Country,Region,Cultivated,Gid
icr043198,True,11.96982,-13.17629333,4,5,top,Boum.4.5.Topsoil.Std fine soil,Jerome Tondoh,Boumeoul,Guinea,West Africa,,1277
icr070289,True,9.21169,5.715875,11,1,sub,Kuti.11.1.Subsoil.Std fine soil,Jerom Tondoh,Kutigi,Nigeria,West Africa,,1521
icr023453,True,-14.726465,39.84090667,2,1,top,Chik.2.1.Topsoil.Std fine soil,Dr L.T.Desta,Chica_b,Mozambique,South Africa,False,415
icr042079,True,-1.73061001,35.80042267,6,1,sub,Mori.6.1.Subsoil.Std fine soil,Leigh wenoweicki,Morijo,Kenya,East Africa,,1218
icr038313,True,11.2650528,39.64179229999999,13,1,sub,Kuta.13.1.Subsoil.Std fine soil,Leigh Wenoicki,Kutaber,Ethiopia,East Africa,False,746
icr068150,True,13.418404999999998,1.7315933330000002,3,6,sub,Nyal.3.6.Subsoil.Std fine soil,Jerome Tondoh,Nyalagari,Niger,West Africa,,1444
icr023175,True,-13.37361833,35.45979833,4,1,top,Mak.4.1.Topsoil.Std fine soil,Dr L.T.Desta,Macassangila,Mozambique,South Africa,False,388
icr075371,True,-17.8199,31.8338,3,1,sub,Chiq.3.1.Subsoil.Std fine soil,L.T.Desta,Chiqumbakwe,Zimbabwe,,,1849
icr041800,True,-2.67196488,39.55476761,9,1,sub,Mara.9.1.Subsoil.Std fine soil,Leigh Wenoiwecki,Marafa,Kenya,East Africa,,1192
icr075976,True,-15.819795,26.16895,16,1,top,Musu.16.1.Topsoil.Std fine soil,L.T.Desta,Musungwa,Zambia,South Africa,False,1436
icr062395,True,-18.3094,48.7565,14,2,top,Didy.14.2.Topsoil.Std fine soil,Leigh Winowieck,Didy,Madagascar,,,1360
icr007850,True,-5.33592987,37.46857452,7,1,top,Kib.7.1.Topsoil.Std fine soil,Tor Gunnar Vagen,Kiberashi,Tanzania,East Africa,False,592
icr056102,True,-13.06236333,28.48207,12,2,sub,Fise.12.2.Subsoil.Std fine soil,L.T.Desta,Fisenge,Zambia,South Africa,True,1027
icr056141,True,-13.10194667,28.50299833,14,1,top,Fise.14.1.Topsoil.Std fine soil,L.T.Desta,Fisenge,Zambia,South Africa,False,1030
icr023494,True,-14.68884167,39.84353333,4,1,sub,Chik.4.1.Subsoil.Std fine soil,Dr L.T.Desta,Chica_b,Mozambique,South Africa,False,420
icr010058,True,-11.05710316,35.15173721,8,1,top,Mbi.8.1.Topsoil.Std fine soil,Leigh Winoweicki,Mbinga,Tanzania,East Africa,False,20
icr023116,True,-13.44472167,35.46230333,1,1,top,Mak.1.1.Topsoil.Std fine soil,Dr L.T.Desta,Macassangila,Mozambique,South Africa,False,382
icr049338,True,-22.87014333,35.313225,9,1,sub,Chic.9.1.Subsoil.Std fine soil,Lulseged Tamene,Chiculecule,Mozambique,South Africa,True,833
icr050154,True,-16.16296,38.94107833,2,1,top,Mart.2.1.Topsoil.Std fine soil,Lulseged Tamene,Martinho,Mozambique,South Africa,False,882
icr042116,True,-1.68290997,35.80660629,8,1,sub,Mori.8.1.Subsoil.Std fine soil,Leigh wenoweicki,Morijo,Kenya,East Africa,,1222
icr010728,True,12.49274333,-6.33263,3,1,sub,Kol.3.1.Subsoil.Std fine soil,Jerome Tondoh,Koloko,Mali,West Africa,False,239
icr075977,True,-15.819795,26.16895,16,1,sub,Musu.16.1.Subsoil.Std fine soil,L.T.Desta,Musungwa,Zambia,South Africa,False,1437
icr074083,True,-18.0858,29.4351,7,1,sub,Gamb.7.1.Subsoil.Std fine soil,L.T.Desta,Gambisa,Zimbabwe,,False,1704
icr015732,True,6.75628667,-1.243568333,16,1,top,Kub.16.1.Topsoil.Std fine soil,Jerom Tondoh,Kubeasi,Ghana,West Africa,True,315
icr068221,True,13.41339833,1.7547116669999998,7,2,top,Nyal.7.2.Topsoil.Std fine soil,Jerome Tondoh,Nyalagari,Niger,West Africa,,1451
icr054387,True,0.51074201,32.33942032,14,1,top,Nama.14.1.Topsoil.Std fine soil, Leigh Winowiecki ,Namasuba,Uganda,East Africa,True,938
icr024869,True,-6.92843294,34.1724205,1,3,sub,,Tor Vagen,Itende,Tanzania,East Africa,False,444
icr070276,True,9.192781667,5.719468332999999,10,1,top,Kuti.10.1.Topsoil.Std fine soil,Jerom Tondoh,Kutigi,Nigeria,West Africa,,1518
icr023414,True,-13.37711,35.52999333,16,1,sub,Mak.16.1.Subsoil.Std fine soil,Dr L.T.Desta,Macassangila,Mozambique,South Africa,True,412
icr049517,True,-18.02627,36.79851167,2,1,sub,Inha.2.1.Subsoil.Std fine soil,Lulseged Tamene,Ihassunge,Mozambique,South Africa,True,851
icr030044,True,8.60079002,34.98501205,2,1,sub,,Tor Vagen,Dambidolo,Ethiopia,East Africa,True,474
icr011098,True,10.94759,-3.585211667,4,3,sub,Bon.4.3.Subsoil.Std fine soil,Jerome Tondoh,Bondigui,Burkina Faso,West Africa,,507
icr023652,True,-14.68108833,39.88605833,12,2,top,Chik.12.2.Topsoil.Std fine soil,Dr L.T.Desta,Chica_b,Mozambique,South Africa,True,433
icr023634,True,-14.701545,39.88362667,11,1,sub,Chik.11.1.Subsoil.Std fine soil,Dr L.T.Desta,Chica_b,Mozambique,South Africa,True,432
icr049477,True,-22.80021333,35.33732,16,1,top,Chic.16.1.Topsoil.Std fine soil,Lulseged Tamene,Chiculecule,Mozambique,South Africa,True,846
icr015276,True,10.92958167,-2.637041667,12,1,sub,Lam.12.1.Subsoil.Std fine soil,Jerome Tondoh,Lambussie,Ghana,West Africa,True,625
icr041915,True,-2.62039208,39.57739258,15,1,top,Mara.15.1.Topsoil.Std fine soil,Leigh Wenoiwecki,Marafa,Kenya,East Africa,,1203
icr023254,True,-13.37299833,35.47741667,8,1,sub,Mak.8.1.Subsoil.Std fine soil,Dr L.T.Desta,Macassangila,Mozambique,South Africa,False,396
icr072425,True,-7.361311667000001,15.73790167,10,1,top,Sanz.10.1.Topsoil.Std fine soil,L.T.Desta,Sanza Pompo,Angola,South Africa,,1549
icr023513,True,-14.75414,39.85758167,5,1,top,Chik.5.1.Topsoil.Std fine soil,Dr L.T.Desta,Chica_b,Mozambique,South Africa,False,421
icr048931,True,-29.8198,23.9758,14,2,top,Hope.14.2.Topsoil.Std fine soil,George Van Zijl,Hopetown,South Africa,,,1328
icr049297,True,-22.81783333,35.28526167,7,1,top,Chic.7.1.Topsoil.Std fine soil,Lulseged Tamene,Chiculecule,Mozambique,South Africa,False,828
icr034362,True,7.00404333,9.332265,6,1,top,Kats.6.1.Topsoil.Std fine soil,Jerome Tondoh,Katsina ala,Nigeria,West Africa,True,669
icr030479,True,9.6164484,42.70803833,11,1,sub,,Tor Vargen,Merar,Ethiopia,East Africa,,558
icr049457,True,-22.82643,35.336955,15,1,top,Chic.15.1.Topsoil.Std fine soil,Lulseged Tamene,Chiculecule,Mozambique,South Africa,False,844
icr048520,True,-27.6131,30.045,5,1,top,Mada.5.1.Topsoil.Std fine soil,George Van Zijl,Madadeni,South Africa,South Africa,False,761
icr073704,True,-19.372857,28.721183,4,1,sub,Keni.4.1.Subsoil.Std fine soil,L.T.Desta,Kenilworth,Zimbabwe,South Africa,,1763
icr073598,True,-12.29723833,15.22342333,16,1,top,Luim.16.1.Topsoil.Std fine soil,L.T.Desta,Luimbale,Angola,South Africa,,1655
icr042931,True,10.53327167,-13.410885,8,3,sub,Fria.8.3.Subsoil.Std fine soil,Jerome Tondoh,Fria,Guinea,West Africa,,1254
icr074046,True,-18.137,29.4347,5,1,sub,Gamb.5.1.Subsoil.Std fine soil,L.T.Desta,Gambisa,Zimbabwe,,False,1700
icr030316,True,8.64607239,35.05302811,16,1,top,,Tor Vagen,Dambidolo,Ethiopia,East Africa,False,501
icr073419,True,-12.31856,15.17408167,7,1,top,Luim.7.1.Topsoil.Std fine soil,L.T.Desta,Luimbale,Angola,South Africa,,1637
icr012084,True,-3.0151,33.08854294,15,3,sub,Buk.15.3.Subsoil.Std fine soil,Leigh Winoweicki,Bukwaya,Tanzania,East Africa,True,267
icr014864,True,-15.93559667,35.30966833,7,2,sub,Thu.7.2.Subsoil.Std fine soil,L.T.Desta,Thuchila,Malawi,South Africa,True,275
icr043011,True,10.54048833,-13.38327833,12,4,top,Fria.12.4.Topsoil.Std fine soil,Jerome Tondoh,Fria,Guinea,West Africa,,1261
icr034482,True,7.05069667,9.354231667,12,1,sub,Kats.12.1.Subsoil.Std fine soil,Jerome Tondoh,Katsina ala,Nigeria,West Africa,True,682
icr062414,True,-18.2982,48.7534,15,1,sub,Didy.15.1.Subsoil.Std fine soil,Leigh Winowieck,Didy,Madagascar,,,1363
icr072757,True,-16.26354667,14.930115,9,1,sub,Muco.9.1.Subsoil.Std fine soil,L.T.Desta,Mucope,Angola,South Africa,,1580
icr054165,True,0.49136299,32.27067566,1,1,top,Nama.1.1.Topsoil.Std fine soil, Leigh Winowiecki ,Namasuba,Uganda,East Africa,True,912
icr010846,True,12.45190833,-6.288508332999999,9,1,sub,Kol.9.1.Subsoil.Std fine soil,Jerome Tondoh,Koloko,Mali,West Africa,True,245
icr011942,True,-3.00733495,33.04496384,7,1,sub,Buk.7.1.Subsoil.Std fine soil,Leigh Winoweicki,Bukwaya,Tanzania,East Africa,True,259
icr055981,True,-13.10106667,28.458735,6,1,top,Fise.6.1.Topsoil.Std fine soil,L.T.Desta,Fisenge,Zambia,South Africa,True,1015
icr074141,True,-18.1141,29.4552,10,1,sub,Gamb.10.1.Subsoil.Std fine soil,L.T.Desta,Gambisa,Zimbabwe,,False,1710
icr014743,True,-15.975425,35.28968167,1,1,top,Thu.1.1.Topsoil.Std fine soil,L.T.Desta,Thuchila,Malawi,South Africa,True,61
icr049045,True,-29.9505,22.7371,6,3,sub,Prie.6.3.Subsoil.Std fine soil,George Van Zijl,Prieska,South Africa,South Africa,False,797
icr074377,True,-21.7919,26.4815,5,1,sub,Paje.5.1.Subsoil.Std fine soil,L.T.Desta,Paje,Botswana,,,1794
icr041936,True,-2.60346293,39.58199310000001,16,1,sub,Mara.16.1.Subsoil.Std fine soil,Leigh Wenoiwecki,Marafa,Kenya,East Africa,,1206
icr043401,True,11.96395833,-13.10541333,16,10,top,Boum.16.10.Topsoil.Std fine soil,Jerome Tondoh,Boumeoul,Guinea,West Africa,,1300
icr055703,True,-9.13688,29.6462,8,1,top,Chil.8.1.Topsoil.Std fine soil,L.T.Desta,Chilende,Zambia,,False,989
icr075716,True,-15.85138333,26.095875,3,1,top,Musu.3.1.Topsoil.Std fine soil,L.T.Desta,Musungwa,Zambia,South Africa,False,1411
icr048899,True,-29.7687,23.9539,12,1,top,Hope.12.1.Topsoil.Std fine soil,George Van Zijl,Hopetown,South Africa,,,1324
icr011222,True,10.924675,-3.533448333,11,1,top,Bon.11.1.Topsoil.Std fine soil,Jerome Tondoh,Bondigui,Burkina Faso,West Africa,,88
icr049098,True,-29.934,22.7603,11,1,top,Prie.11.1.Topsoil.Std fine soil,George Van Zijl,Prieska,South Africa,South Africa,False,802
icr043288,True,11.90510833,-13.13042,9,2,sub,Boum.9.2.Subsoil.Std fine soil,Jerome Tondoh,Boumeoul,Guinea,West Africa,,1288
icr048469,True,-27.5922,30.0235,2,1,sub,Mada.2.1.Subsoil.Std fine soil,George Van Zijl,Madadeni,South Africa,South Africa,False,756
icr037532,True,11.32956833,-5.518538333,7,1,sub,Fink.7.1.Subsoil.Std fine soil,Jerome Tondoh,Finnkolo,Mali,West Africa,,1124
icr043090,True,10.54417,-13.35787667,16,6,top,Fria.16.6.Topsoil.Std fine soil,Jerome Tondoh,Fria,Guinea,West Africa,,1269
icr011111,True,10.87761667,-3.5586833330000003,5,1,top,Bon.5.1.Topsoil.Std fine soil,Jerome Tondoh,Bondigui,Burkina Faso,West Africa,,82
icr056261,True,-16.04487667,28.25742667,4,1,sub,Mong.4.1.Subsoil.Std fine soil,L.T.Desta,Monga,Zambia,South Africa,False,1043
icr072836,True,-16.268775,14.958435,13,1,top,Muco.13.1.Topsoil.Std fine soil,L.T.Desta,Mucope,Angola,South Africa,,1587
icr072737,True,-16.19894167,14.89918167,8,1,sub,Muco.8.1.Subsoil.Std fine soil,L.T.Desta,Mucope,Angola,South Africa,,1578
icr043347,True,11.89474,-13.107555,13,1,top,Boum.13.1.Topsoil.Std fine soil,Jerome Tondoh,Boumeoul,Guinea,West Africa,,1295
icr062135,True,-18.3471,48.6935,1,1,sub,Didy.1.1.Subsoil.Std fine soil,Leigh Winowieck,Didy,Madagascar,,,1335
icr069970,True,14.83648167,-7.809873333,10,1,sub,Tamb.10.1.Subsoil.Std fine soil,Jerom Tondoh,Tambabougou,Mali,West Africa,,1742
icr074791,True,-19.4123,22.06,9,1,top,Guma.9.1.Topsoil.Std fine soil,L.T.Desta,Gumare,Botswana,,,1829
icr043332,True,11.96782167,-13.12979333,12,1,top,Boum.12.1.Topsoil.Std fine soil,Jerome Tondoh,Boumeoul,Guinea,West Africa,,1293
icr007891,True,-5.3817667999999985,37.49669647,9,1,sub,Kib.9.1.Subsoil.Std fine soil,Tor Gunnar Vagen,Kiberashi,Tanzania,East Africa,False,178
icr049156,True,-29.9279,22.7819,15,5,top,Prie.15.5.Topsoil.Std fine soil,George Van Zijl,Prieska,South Africa,South Africa,False,812
icr050334,True,-16.13721833,38.9843,11,1,top,Mart.11.1.Topsoil.Std fine soil,Lulseged Tamene,Martinho,Mozambique,South Africa,False,900
icr048528,True,-27.5868,30.0455,6,2,top,Mada.6.2.Topsoil.Std fine soil,George Van Zijl,Madadeni,South Africa,South Africa,False,763
icr075351,True,-17.8307,31.8367,2,1,sub,Chiq.2.1.Subsoil.Std fine soil,L.T.Desta,Chiqumbakwe,Zimbabwe,,,1847
icr006511,True,-6.04692984,36.44385910000001,4,1,sub,Pan.4.1.Subsoil.Std fine soil,Tor Gunnar Vagen,Pandambili,Tanzania,East Africa,False,146
icr049537,True,-17.998985,36.80058,3,2,sub,Ihas.3.2.Subsoil.Std fine soil,Lulseged Tamene,Ihassunge,Mozambique,South Africa,True,853
icr010809,True,12.49110333,-6.314946667,7,2,sub,Kol.7.2.Subsoil.Std fine soil,Jerome Tondoh,Koloko,Mali,West Africa,False,243
icr033428,True,-0.12714501,39.014431,6,1,sub,Mbal.6.1.Subsoil.Std fine soil,Leigh Winowiecki,Mbalambala,Kenya,East Africa,,1081
icr075469,True,-17.7908,31.8557,8,1,top,Chiq.8.1.Topsoil.Std fine soil,L.T.Desta,Chiqumbakwe,Zimbabwe,,,1858
icr014669,True,-11.63818833,34.281434999999995,14,1,sub,Nkh.14.1.Subsoil.Std fine soil,L.T.Desta,Nkhata Bay,Malawi,South Africa,,533
icr041641,True,-2.66469789,39.514431,1,2,top,Mara.1.2.Topsoil.Std fine soil,Leigh Wenoiwecki,Marafa,Kenya,East Africa,,1175
icr048838,True,-29.7781,23.933000000000003,8,2,sub,Hope.8.2.Subsoil.Std fine soil,George Van Zijl,Hopetown,South Africa,,,1317
icr070349,True,9.188533332999999,5.742303333,14,1,sub,Kuti.14.1.Subsoil.Std fine soil,Jerom Tondoh,Kutigi,Nigeria,West Africa,,1527
icr015552,True,6.728055,-1.284068333,7,1,top,Kub.7.1.Topsoil.Std fine soil,Jerom Tondoh,Kubeasi,Ghana,West Africa,True,297
icr023294,True,-13.41760667,35.511175,10,1,sub,Mak.10.1.Subsoil.Std fine soil,Dr L.T.Desta,Macassangila,Mozambique,South Africa,False,400
icr034542,True,7.02543,9.366843333,15,1,sub,Kats.15.1.Subsoil.Std fine soil,Jerome Tondoh,Katsina ala,Nigeria,West Africa,False,689
icr074510,True,-21.7232,26.4957,12,1,sub,Paje.12.1.Subsoil.Std fine soil,L.T.Desta,Paje,Botswana,,,1804
icr069789,True,14.809575,-7.843511667,1,1,top,Tamb.1.1.Topsoil.Std fine soil,Jerom Tondoh,Tambabougou,Mali,West Africa,,1723
icr054656,True,1.4735333330000002,31.52892,14,1,top,Hoim.14.1.Topsoil.Std fine soil, Leigh Winowiecki ,Hoima,Uganda,East Africa,True,970
icr073671,True,-19.41344,28.733862,2,2,sub,Keni.2.2.Subsoil.Std fine soil,L.T.Desta,Kenilworth,Zimbabwe,South Africa,,1759
icr049115,True,-29.91,22.7619,12,1,top,Prie.12.1.Topsoil.Std fine soil,George Van Zijl,Prieska,South Africa,South Africa,False,806
icr033696,True,4.17650223,38.28850937,6,1,top,Mega.6.1.Topsoil.Std fine soil,Leigh Wenoiwecki,Mega,Ethiopia,East Africa,,579
icr073321,True,-12.33987333,15.14360333,2,1,sub,Luim.2.1.Subsoil.Std fine soil,L.T.Desta,Luimbale,Angola,South Africa,,1628
icr068339,True,13.37199833,1.804516667,13,1,top,Nyal.13.1.Topsoil.Std fine soil,Jerome Tondoh,Nyalagari,Niger,West Africa,,1463
icr074852,True,-19.3513,22.0571,12,1,sub,Guma.12.1.Subsoil.Std fine soil,L.T.Desta,Gumare,Botswana,,,1836
icr050175,True,-16.1334,38.94113333,3,1,sub,Mart.3.1.Subsoil.Std fine soil,Lulseged Tamene,Martinho,Mozambique,South Africa,True,885
icr049074,True,-29.9813,22.7623,9,1,top,Prie.9.1.Topsoil.Std fine soil,George Van Zijl,Prieska,South Africa,South Africa,False,800
icr075896,True,-15.83095833,26.13990833,12,1,top,Musu.12.1.Topsoil.Std fine soil,L.T.Desta,Musungwa,Zambia,South Africa,False,1429
icr030552,True,9.61545658,42.73780441,15,1,sub,,Tor Vargen,Merar,Ethiopia,East Africa,,566
icr074031,True,-18.066,29.4092,4,1,sub,Gamb.4.1.Subsoil.Std fine soil,L.T.Desta,Gambisa,Zimbabwe,,False,1698
icr073068,True,-11.72861167,15.90537,7,1,top,Bimb.7.1.Topsoil.Std fine soil,L.T.Desta,Bimbe,Angola,South Africa,,1607
icr037870,True,5.27953833,10.242555,7,2,sub,Bana.7.2.Subsoil.Std fine soil,Jerome Tondoh,Bana,Cameroon,West Africa,,1156
icr007949,True,-5.31183291,37.49250793,12,2,top,Kib.12.2.Topsoil.Std fine soil,Tor Gunnar Vagen,Kiberashi,Tanzania,East Africa,False,181
icr021005,True,-8.06768513,37.31658554,9,1,sub,Kid.9.1.Subsoil.Std fine soil,Leigh Winoweicki,Kidatu,Tanzania,East Africa,False,367
icr037675,True,11.294715,-5.4702449999999985,14,8,top,Fink.14.8.Topsoil.Std fine soil,Jerome Tondoh,Finnkolo,Mali,West Africa,,1137
icr042024,True,-1.70595801,35.78072357,3,1,top,Mori.3.1.Topsoil.Std fine soil,Leigh wenoweicki,Morijo,Kenya,East Africa,,1211
icr015772,True,5.39579,-0.780361667,2,1,top,Aju.2.1.Topsoil.Std fine soil,Jerome Tondoh,Ajumako,Ghana,West Africa,True,319
icr033791,True,4.1927681,38.30604172,11,1,top,Mega.11.1.Topsoil.Std fine soil,Leigh Wenoiwecki,Mega,Ethiopia,East Africa,,589
icr021004,True,-8.06768513,37.31658554,9,1,top,Kid.9.1.Topsoil.Std fine soil,Leigh Winoweicki,Kidatu,Tanzania,East Africa,False,366
icr074414,True,-21.7559,26.4813,7,1,sub,Paje.7.1.Subsoil.Std fine soil,L.T.Desta,Paje,Botswana,,,1798
icr038234,True,11.33642006,39.59075165,8,5,top,Kuta.8.5.Topsoil.Std fine soil,Leigh Wenoicki,Kutaber,Ethiopia,East Africa,False,736
icr070125,True,9.191568333,5.671851667,2,2,sub,Kuti.2.2.Subsoil.Std fine soil,Jerom Tondoh,Kutigi,Nigeria,West Africa,,1505
icr049756,True,-18.02614167,36.86523833,14,1,sub,Ihas.14.1.Subsoil.Std fine soil,Lulseged Tamene,Ihassunge,Mozambique,South Africa,False,875
icr023454,True,-14.726465,39.84090667,2,1,sub,Chik.2.1.Subsoil.Std fine soil,Dr L.T.Desta,Chica_b,Mozambique,South Africa,False,416
icr048486,True,-27.5684,30.0228,3,1,sub,Mada.3.1.Subsoil.Std fine soil,George Van Zijl,Madadeni,South Africa,South Africa,False,758
icr042247,True,-1.70844495,35.84159088,15,1,top,Mori.15.1.Topsoil.Std fine soil,Leigh wenoweicki,Morijo,Kenya,East Africa,,1235
icr074891,True,-19.3945,22.0855,14,1,top,Guma.14.1.Topsoil.Std fine soil,L.T.Desta,Gumare,Botswana,,,1839
icr043091,True,10.54417,-13.35787667,16,6,sub,Fria.16.6.Subsoil.Std fine soil,Jerome Tondoh,Fria,Guinea,West Africa,,1270
icr006121,True,-6.86209822,36.14105606,12,1,top,Chi.12.1.Topsoil.Std fine soil,Tor Gunnar Vagen,Chinyanghuku,Tanzania,East Africa,False,110
icr010218,True,-11.0614996,35.19319916,16,1,top,Mbi.16.1.Topsoil.Std fine soil,Leigh Winoweicki,Mbinga,Tanzania,East Africa,False,28
icr015712,True,6.73047667,-1.24715,15,1,top,Kub.15.1.Topsoil.Std fine soil,Jerom Tondoh,Kubeasi,Ghana,West Africa,True,313
icr056340,True,-16.04143333,28.28783833,8,1,top,Mong.8.1.Topsoil.Std fine soil,L.T.Desta,Monga,Zambia,South Africa,True,1050
icr075508,True,-17.8301,31.8726,10,1,top,Chiq.10.1.Topsoil.Std fine soil,L.T.Desta,Chiqumbakwe,Zimbabwe,,,1862
icr048521,True,-27.6131,30.045,5,1,sub,Mada.5.1.Subsoil.Std fine soil,George Van Zijl,Madadeni,South Africa,South Africa,False,762
icr072776,True,-16.24473333,14.92850333,10,1,top,Muco.10.1.Topsoil.Std fine soil,L.T.Desta,Mucope,Angola,South Africa,,1581
icr075549,True,-17.7929,31.8807,12,1,sub,Chiq.12.1.Subsoil.Std fine soil,L.T.Desta,Chiqumbakwe,Zimbabwe,,,1867
icr030183,True,8.57880211,35.02257156,9,5,top,,Tor Vagen,Dambidolo,Ethiopia,East Africa,False,487
icr073744,True,-19.4141,28.74545833,6,1,sub,Keni.6.1.Subsoil.Std fine soil,L.T.Desta,Kenilworth,Zimbabwe,South Africa,,1767
icr070193,True,9.166866667,5.6921300000000015,5,8,top,Kuti.5.8.Topsoil.Std fine soil,Jerom Tondoh,Kutigi,Nigeria,West Africa,,1510
icr074019,True,-18.0948,29.4155,3,1,sub,Gamb.3.1.Subsoil.Std fine soil,L.T.Desta,Gambisa,Zimbabwe,,False,1696
icr037453,True,11.32941667,-5.534058333,3,1,top,Fink.3.1.Topsoil.Std fine soil,Jerome Tondoh,Finnkolo,Mali,West Africa,,1115
