SSN,Public,EC,ExAc,ExBas,M3 Al,M3 B,M3 Ca,M3 Cu,M3 Fe,M3 K,M3 Mg,M3 Mn,M3 Na,M3 P,M3 S,M3 Zn,PH,PSI
icr042991,True,0.037000000000000005,1.344,1.066607618,1880.0,0.037000000000000005,133.0,0.51,44.0,27.2,36.0,4.15,7.94,0.98,13.1,0.21,4.91,361.0
icr043299,True,0.022,1.872,2.336306779,1470.0,0.05,266.0,1.56,162.0,47.7,98.9,46.0,15.4,1.32,8.21,0.29,4.99,222.0
icr043363,True,0.035,0.096,8.451311112,783.0,0.21,1200.0,1.28,98.7,128.0,251.0,203.0,11.4,6.99,4.76,0.85,6.25,128.0
icr048912,True,0.043,0.14,10.91429815,504.0,0.001,1180.0,3.32,80.5,216.0,520.0,120.0,37.8,7.82,5.81,0.56,7.71,17.6
icr062134,True,0.117,0.6,2.227102365,783.0,0.22,160.0,1.68,185.0,84.2,126.0,165.0,39.2,2.74,20.6,1.93,4.8,145.0
icr062414,True,0.166,1.95,0.991268045,1160.0,0.001,73.5,1.82,216.0,45.7,41.5,13.0,37.7,5.04,28.0,0.88,4.38,179.0
icr068150,True,0.066,0.55,1.036040086,714.0,0.001,91.5,0.001,127.0,63.3,35.0,43.8,29.3,3.39,7.16,0.6,4.58,34.9
icr068439,True,0.08900000000000001,0.2,4.0589150510000005,414.0,0.001,636.0,0.54,77.7,61.8,81.7,32.2,10.5,15.1,3.35,2.22,5.86,10.2
icr068521,True,0.076,0.1,3.426238655,410.0,0.001,562.0,0.41,66.0,33.5,59.3,30.3,9.31,3.43,2.99,0.7,5.76,15.9
icr070165,True,0.011,0.14,3.037573503,665.0,0.001,444.0,1.37,219.0,49.7,68.5,141.0,28.6,9.28,5.0,1.21,6.08,49.6
icr070263,True,0.012,0.28,1.6492663440000002,443.0,0.001,194.0,0.3,68.4,39.0,60.6,225.0,18.1,1.08,3.43,0.95,6.19,31.4
icr072386,True,0.013,2.91,0.48392935,964.0,0.001,43.3,0.001,140.0,5.83,11.3,5.58,36.6,4.08,7.05,1.65,5.18,65.3
icr072466,True,0.026,0.97,4.002279808,1670.0,0.1,488.0,1.31,98.5,168.0,122.0,36.2,28.6,4.46,11.4,0.81,5.4,171.0
icr072796,True,0.053,0.19,4.2976043630000005,375.0,0.11,610.0,0.24,59.6,105.0,102.0,44.6,31.3,2.79,4.15,1.05,6.34,29.9
icr072876,True,0.051,0.48,3.358541333,288.0,0.075,571.0,0.22,45.6,41.0,44.6,42.7,6.92,3.68,2.12,1.05,7.06,22.5
icr073209,True,0.07200000000000001,0.29,3.854884065,1420.0,0.058,452.0,1.75,99.4,118.0,135.0,122.0,40.8,3.33,6.41,1.01,5.34,139.0
icr073321,True,0.016,0.38,1.88145611,1340.0,0.031,212.0,0.27,59.0,78.9,52.2,57.1,43.3,3.0,6.67,1.17,5.64,102.0
icr074983,True,0.07400000000000001,0.33,6.7002298620000005,492.0,0.001,841.0,1.2,47.5,236.0,217.0,78.2,22.6,2.43,4.82,1.07,6.58,18.0
icr075063,True,0.073,0.14,18.05317896,588.0,0.22,1930.0,2.83,42.7,507.0,842.0,124.0,34.0,2.89,6.84,0.76,7.19,31.8
icr049836,True,0.025,0.37,1.161604489,356.0,0.001,132.0,0.001,44.3,19.0,39.4,4.33,29.3,39.5,3.76,2.0,5.07,14.2
icr049915,True,0.031,0.32,0.783938164,347.0,0.001,66.7,0.001,54.8,33.4,28.7,3.98,29.4,12.1,3.9,0.55,5.0,6.94
icr074031,True,0.135,0.19,21.2323299,392.0,0.36,3220.0,2.87,89.2,97.7,563.0,228.0,52.8,9.96,12.8,2.52,8.33,39.4
icr074103,True,0.04,0.19,15.32440257,873.0,0.16,1950.0,2.27,86.5,135.0,606.0,115.0,50.8,6.33,11.4,0.51,6.12,74.6
icr069890,True,0.021,0.14,3.62454556,400.0,0.001,421.0,0.28,73.2,61.5,144.0,49.1,39.6,2.73,2.93,1.11,6.68,18.7
icr069970,True,0.012,0.19,2.791865422,326.0,0.001,325.0,0.23,33.7,35.5,117.0,28.1,25.1,2.2,3.7,0.71,6.57,20.4
icr073800,True,0.033,0.24,24.8916307,814.0,0.63,3000.0,5.5,112.0,107.0,1130.0,118.0,64.2,0.72,5.95,1.31,6.73,107.0
icr073897,True,0.045,0.14,12.95491197,877.0,0.19,1450.0,3.02,100.0,88.4,641.0,120.0,41.7,2.85,8.09,2.22,5.89,65.1
icr074510,True,0.022,0.24,4.434320031,388.0,0.001,531.0,0.21,63.2,48.6,188.0,18.1,23.3,1.2,4.17,0.79,6.42,28.2
icr074581,True,0.071,0.24,9.629653675,308.0,0.2,855.0,0.44,49.3,212.0,562.0,35.1,38.6,2.56,8.77,1.31,7.38,8.63
icr074911,True,0.073,0.33,4.517674537,199.0,0.093,578.0,0.001,44.2,98.5,150.0,21.0,31.3,2.85,3.39,0.62,6.37,2.95
icr075370,True,0.015,0.24,0.837310826,350.0,0.001,93.5,0.33,134.0,41.0,22.8,4.12,17.6,6.16,4.15,1.08,5.56,11.2
icr076503,True,0.022,0.24,14.29813447,1410.0,0.001,1850.0,1.96,189.0,226.0,520.0,23.1,39.7,5.79,4.0,1.05,6.39,306.0
icr005928,True,0.218,0.09,7.282999218,747.2,0.414,946.8,1.244,80.02,209.6,224.7,107.2,35.86,6.199,11.05,2.0340000000000003,7.563,1.592510707
icr005929,True,0.115,0.13,6.2434607810000005,852.3,0.2954,629.8,1.317,92.18,146.9,307.6,114.5,40.62,1.34,8.272,2.0580000000000003,6.907,17.70090868
icr005946,True,0.111,0.18,7.05556601,594.7,0.1794,729.5,1.031,85.29,83.85,365.0,63.0,40.73,4.06,8.87,1.275,6.905,1.448795833
icr005947,True,0.116,0.14,6.3073501410000015,517.0,0.1328,661.7,0.7326,72.55,58.59,315.6,35.34,55.37,2.749,10.13,1.795,6.8729999999999976,1.6705323980000002
icr005965,True,0.238,0.27,39.98554406,601.6,0.6949,7212.0,1.635,60.15,247.3,380.6,129.4,33.95,13.05,13.41,1.281,7.879,30.63797853
icr005966,True,0.205,0.18,13.61842451,961.4,0.5955,1985.0,1.866,123.4,167.7,375.8,166.1,36.51,8.997,9.889,1.484,7.401,19.51400217
icr005985,True,0.321,0.09,26.40780632,765.6,1.625,4551.0,3.257,98.46,297.5,333.3,124.7,31.6,27.1,23.39,2.25,7.78,26.97103745
icr005986,True,0.643,0.18,60.77534907,195.2,1.165,11368.0,3.834,39.04,166.4,396.8,130.0,53.0,17.47,35.89,2.081,7.896,46.56910451
icr006015,True,0.165,0.18,8.276767834,740.6,0.4270000000000001,985.8,2.022,98.25,177.7,323.3,193.0,50.92,4.6160000000000005,11.31,2.326,7.13,8.509304418
icr006016,True,0.154,0.18,8.208038744,836.0,0.5616,935.0,2.003,125.4,141.6,356.7,210.9,51.28,3.603,10.84,2.028,6.9289999999999985,2.787864715
icr006035,True,0.153,0.09,4.406757276,604.4,0.2876,459.7,0.7834,93.92,232.9,168.4,108.0,27.8,11.76,21.99,1.624,6.492000000000001,2.902925735
icr006036,True,0.16699999999999998,0.18,6.751212984,854.0,0.2959,731.1,1.006,117.1,224.3,281.7,115.7,44.61,4.552,15.6,1.617,6.379,17.09976786
icr006055,True,0.218,0.18,17.6672388,863.3,0.4329,2222.0,1.8,199.3,408.6,643.7,172.1,44.25,55.79,15.41,2.737,6.882999999999999,20.42340788
icr006056,True,0.24,0.09,16.13333066,838.0,0.35200000000000004,2125.0,1.975,142.2,198.8,574.6,189.0,57.76,34.26,12.17,1.791,7.039,5.724360592000001
icr006076,True,0.25,0.09,15.50492556,828.6,0.7049,2460.0,1.636,185.4,219.8,301.0,131.2,35.69,27.94,12.22,2.647,7.58,16.904964
icr006077,True,0.162,0.09,14.796555599999998,859.1,0.7309,2203.0,1.694,191.0,197.1,371.0,133.1,48.61,19.81,13.05,3.102,7.465,19.64685056
icr006085,True,0.08199999999999999,0.18,10.18622149,737.8,0.6079,1423.0,1.54,125.3,239.1,283.0,139.1,27.8,15.29,11.89,3.846,6.8370000000000015,1.325621238
icr006101,True,0.209,0.18,32.00618704,650.4,1.18,5261.0,1.963,64.6,426.9,538.9,172.9,35.8,8.927,13.62,2.8710000000000004,8.052,23.15896398
icr006102,True,0.174,0.09,23.19320391,507.0,0.5053,3949.0,1.4269999999999998,58.68,183.4,344.3,125.6,30.75,7.957000000000002,45.13,2.83,8.064,10.18829049
icr006152,True,0.092,0.45,4.924882089,719.8,0.4171,483.7,0.6894,166.3,316.9,188.9,34.1,30.99,33.67,11.62,3.048,6.303,1.904618792
icr006153,True,0.101,1.17,2.7328932810000004,971.3,0.1197,193.4,0.6026,156.2,185.3,139.7,11.72,31.61,20.5,9.846,1.651,5.087,37.00771057
icr006164,True,0.094,0.45,18.40597791,523.5,1.634,2842.0,1.218,131.6,357.2,383.9,101.0,25.23,61.15,18.2,4.498,7.2010000000000005,-33.49367433
icr006165,True,0.099,0.36,10.02337826,668.4,0.5363,1288.0,0.9556,146.7,237.7,343.0,65.51,32.37,15.11,10.74,2.8280000000000003,7.126,-23.39472668
icr006454,True,0.193,0.27,23.22971328,946.0,1.31,3183.0,2.4,58.0,1068.0,543.0,128.0,22.0,15.42,9.0,1.26,7.82,57.73163074
icr006455,True,0.219,0.18,31.53045985,946.8,2.478,4679.0,2.375,54.5,1355.0,552.9,130.1,23.13,11.56,9.793,1.285,8.175,83.01799375
icr006474,True,0.071,1.44,3.748265435,1002.0,0.3331,281.8,1.159,217.3,455.3,130.1,21.78,22.91,7.978,15.61,1.38,4.966,41.54223285
icr006492,True,0.08,0.18,8.168950794,822.5,0.7449,1036.0,1.879,69.76,394.8,221.9,112.9,33.43,5.148,10.61,1.937,6.614,7.544759682
icr006510,True,0.116,0.45,7.669776754,865.2,1.01,812.6,1.4240000000000002,115.5,450.2,272.4,102.3,46.95,9.775,13.46,2.3480000000000003,6.613,9.647693575
icr006511,True,0.081,0.77,5.143188043,1290.0,0.5459,448.3,1.047,127.1,430.6,198.6,37.09,36.59,6.08,27.58,1.539,5.138,71.04958747
icr006531,True,0.081,0.63,7.257641838,1195.0,0.8279,670.2,2.707,63.92,589.8,274.0,123.6,30.76,1.976,14.1,0.79,6.299,57.62503721
icr006550,True,0.091,0.45,12.49196878,1098.0,0.6779,1444.0,2.361,101.4,825.3,365.7,143.3,31.95,7.16,9.269,1.408,7.039,29.06653106
icr006551,True,0.065,0.54,12.74151599,1167.0,0.6839,1595.0,2.341,97.68,731.0,337.2,144.4,25.34,3.849,6.204,1.23,6.884,48.26573414
icr006571,True,0.114,0.45,7.343783,1098.0,0.599,834.7,1.911,64.68,420.5,232.5,112.1,39.87,3.764,12.55,1.3730000000000002,6.644,14.65607559
icr006587,True,0.14300000000000002,0.59,21.10152411,1386.0,0.7719,2191.0,3.407,114.9,1024.0,880.4,279.1,57.86,6.3329999999999975,13.47,2.132,6.912000000000001,51.87335427
icr006626,True,0.046,0.27,3.89178932,793.2,0.3215,310.7,0.8042,104.2,376.9,146.0,47.16,38.58,10.45,11.46,1.693,6.06,9.082525757
icr006627,True,0.067,0.58,5.550418518,1189.0,0.4847,501.3,0.9301,116.5,474.2,205.8,38.54,29.97,7.947999999999999,12.44,1.2919999999999998,5.688,47.10198352
icr006646,True,0.08900000000000001,1.4,4.18797582,1357.0,0.3913,370.4,1.7719999999999998,150.6,424.7,134.2,51.87,32.36,10.57,20.63,3.66,4.921,68.90096959
icr006647,True,0.066,2.21,3.803918454,1495.0,0.4771,302.0,1.696,111.7,333.6,152.4,44.92,41.68,4.74,31.48,1.965,4.677,77.49277204
icr006666,True,0.117,1.22,3.406252267,1189.0,0.4483,204.2,2.09,77.0,369.3,148.5,64.53,49.1,5.324,30.6,2.081,4.811,22.28955041
icr006667,True,0.197,1.44,3.383296802,1314.0,0.4936,226.6,1.898,58.22,297.5,143.1,61.88,70.56,1.994,91.65,1.432,4.5539999999999985,94.59611783
icr006684,True,0.07200000000000001,0.54,6.734785769,940.8,0.5776,612.1,1.805,96.45,457.6,289.5,142.8,25.62,5.355,10.18,1.911,6.615,13.02624885
icr006704,True,0.07400000000000001,0.63,5.226246613,1006.0,0.3356,451.3,1.305,118.9,456.1,202.8,131.7,29.26,8.347999999999999,10.22,2.464,6.314,15.98514771
icr006724,True,0.079,0.86,4.700444146000001,1189.0,0.4255,349.2,2.237,152.0,552.9,165.6,48.34,39.51,8.133,21.59,1.264,5.274,50.44780527
icr006725,True,0.065,1.62,3.398361417,1208.0,0.458,234.8,1.683,97.09,340.5,144.0,15.26,37.59,4.456,35.99,1.629,4.792,85.59437252
icr006744,True,0.047,0.63,3.276067014,899.0,0.2032,241.5,1.119,132.4,283.9,145.7,58.53,31.82,7.4860000000000015,11.61,6.268,5.727,5.115256101
icr006745,True,0.055,1.08,1.897040308,1073.0,0.1316,117.0,0.5436,113.6,200.1,76.7,12.61,38.27,6.129,16.7,1.797,4.945,42.18699037
icr007730,True,0.106,0.48,7.902995213,1226.0,0.9632,829.7,0.7290000000000001,163.8,458.5,300.1,67.68,23.39,11.16,22.49,2.62,4.995,58.87486621
icr007731,True,0.109,1.14,6.376301674,1471.0,1.003,513.1,0.7151,122.2,403.3,313.5,67.33,43.34,5.652,45.53,1.209,4.574,75.79536807
icr007750,True,0.037000000000000005,0.28,7.164436791,875.0,0.3955,993.0,1.085,125.9,109.4,214.8,97.78,33.22,5.901,9.451,2.285,5.934,13.56382764
icr007751,True,0.037000000000000005,0.38,5.3054541230000005,953.0,0.3463,704.0,1.116,124.0,57.62,181.9,60.57,31.0,3.238,10.29,0.989,5.5939999999999985,14.80507574
icr007770,True,0.046,0.67,4.541122963,579.4,0.4538,336.7,0.1575,236.3,42.03,265.9,8.099,127.1,12.1,10.01,0.882,5.4620000000000015,18.6964007
icr007771,True,0.058,0.38,7.456745905,673.7,0.473,772.3,0.1983,217.8,192.8,344.6,22.01,58.47,19.8,13.59,1.808,5.233,31.28626432
icr007790,True,0.057,0.38,9.572012427999999,1535.0,0.6265,971.0,2.035,113.3,395.0,423.4,77.22,47.75,5.206,14.62,1.846,5.312,76.40995832
icr007791,True,0.056,0.76,7.670719567999999,1749.0,0.7119,694.9,2.17,108.5,275.8,405.6,63.32,31.92,3.699,15.35,1.534,4.966,127.6794722
icr007810,True,0.112,0.38,13.96716842,1513.0,1.144,1841.0,1.203,123.5,553.9,393.5,65.27,21.5,17.08,15.5,2.551,6.228,56.6107051
icr007811,True,0.123,0.19,9.647246728999999,1734.0,0.9594,1056.0,1.257,84.35,426.0,373.3,48.7,44.3,3.992,12.72,2.424,6.05,93.56676434
